sequence_id,length,reps,objective,shots,noise_backend,logical_qubits,hamiltonian_terms,qubo_density,circuit_depth,transpiled_depth,one_qubit_gates,two_qubit_gates,multi_qubit_gates,swap_gates,optimizer_iterations,circuit_evaluations,best_qubo_energy,found_ground_state,base_pair_f1,energy_gap,runtime_seconds
syn_25_000,25,1,expectation,1024,none,14,96,0.8901098901098901,78,78,123,162,0,0,200,29,11.700000000000001,False,1.0,0.0,0.40502208285033703
syn_25_000,25,1,expectation,4096,none,14,96,0.8901098901098901,78,78,123,162,0,0,200,29,0.0,False,0.0,4.099999904632568,0.8191867908462882
syn_25_000,25,2,expectation,256,none,14,96,0.8901098901098901,137,137,232,324,0,0,200,34,0.8999999999999995,False,0.0,4.699999928474426,0.4556305408477783
syn_25_000,25,2,expectation,1024,none,14,96,0.8901098901098901,137,137,232,324,0,0,200,45,4.300000000000001,False,0.0,7.099999904632568,0.7601732918992639
syn_25_000,25,2,expectation,4096,none,14,96,0.8901098901098901,137,137,232,324,0,0,200,38,-3.8,True,1.0,0.0,1.0261802501045167
syn_25_000,25,3,expectation,256,none,14,96,0.8901098901098901,196,196,341,486,0,0,200,58,15.299999999999997,False,0.8,1.5,1.024154792074114
syn_25_000,25,3,expectation,1024,none,14,96,0.8901098901098901,196,196,341,486,0,0,200,50,15.600000000000001,False,0.0,2.799999952316284,1.1259339577518404
syn_25_000,25,3,expectation,4096,none,14,96,0.8901098901098901,196,196,341,486,0,0,200,51,-0.10000000000000009,False,0.0,2.8999998569488525,2.0568088330328465
syn_25_000,25,3,cvar,256,none,14,96,0.8901098901098901,196,196,341,486,0,0,200,52,12.0,False,0.8,1.5,0.9078213339671493
syn_25_000,25,1,expectation,256,fake_hanoi,14,96,0.8901098901098901,78,260,207,416,0,0,200,32,15.299999999999997,False,0.8,1.5,120.63754837494344
syn_25_001,25,1,expectation,256,none,12,75,0.9393939393939394,78,78,98,124,0,0,200,31,-0.5,False,0.3636363636363636,3.199999988079071,0.2294557080604136
syn_25_001,25,1,expectation,1024,none,12,75,0.9393939393939394,78,78,98,124,0,0,200,34,-3.399999999999999,True,1.0,0.0,0.5219654161483049
syn_25_001,25,1,expectation,4096,none,12,75,0.9393939393939394,78,78,98,124,0,0,200,29,-0.2999999999999998,False,0.8,3.100000023841858,0.752596290782094
syn_25_001,25,2,expectation,256,none,12,75,0.9393939393939394,143,143,184,248,0,0,200,36,14.799999999999999,False,0.0,3.199999988079071,0.39900145772844553
syn_25_001,25,2,expectation,1024,none,12,75,0.9393939393939394,143,143,184,248,0,0,200,50,-0.5,False,0.3636363636363636,3.199999988079071,0.8005723343230784
syn_25_001,25,2,expectation,4096,none,12,75,0.9393939393939394,143,143,184,248,0,0,200,44,-3.399999999999999,True,1.0,0.0,1.4077374995686114
syn_25_001,25,3,expectation,256,none,12,75,0.9393939393939394,208,208,270,372,0,0,200,53,1.4000000000000004,False,0.0,5.100000023841858,0.6922445413656533
syn_25_001,25,3,expectation,1024,none,12,75,0.9393939393939394,208,208,270,372,0,0,200,53,-3.399999999999999,True,1.0,0.0,1.0097430418245494
syn_25_001,25,3,expectation,4096,none,12,75,0.9393939393939394,208,208,270,372,0,0,200,60,-3.399999999999999,True,1.0,0.0,2.05838012509048
syn_25_001,25,3,cvar,256,none,12,75,0.9393939393939394,208,208,270,372,0,0,200,51,0.0,False,0.0,4.0,0.6577398339286447
syn_25_001,25,1,expectation,256,fake_hanoi,12,75,0.9393939393939394,78,214,170,294,0,0,200,28,11.0,False,0.0,4.4000000059604645,29.103629792109132
syn_25_002,25,1,expectation,256,none,12,74,0.9242424242424242,75,75,97,122,0,0,200,38,-1.4,False,0.8333333333333333,1.8000001907348633,0.2262145420536399
syn_25_002,25,1,expectation,1024,none,12,74,0.9242424242424242,75,75,97,122,0,0,200,31,-3.200000000000001,True,1.0,0.0,0.3122342498973012
syn_25_002,25,1,expectation,4096,none,12,74,0.9242424242424242,75,75,97,122,0,0,200,30,-1.200000000000001,False,0.6153846153846153,1.6000001430511475,0.644738458096981
syn_25_002,25,2,expectation,256,none,12,74,0.9242424242424242,137,137,182,244,0,0,200,42,0.0,False,0.0,4.300000190734863,0.3813809580169618
syn_25_002,25,2,expectation,1024,none,12,74,0.9242424242424242,137,137,182,244,0,0,200,37,0.0,False,0.0,4.300000190734863,0.5287662497721612
syn_25_002,25,2,expectation,4096,none,12,74,0.9242424242424242,137,137,182,244,0,0,200,41,-3.200000000000001,True,1.0,0.0,1.1375071667134762
syn_25_002,25,3,expectation,256,none,12,74,0.9242424242424242,199,199,267,366,0,0,200,47,0.0,False,0.0,4.300000190734863,0.5603211666457355
syn_25_002,25,3,expectation,1024,none,12,74,0.9242424242424242,199,199,267,366,0,0,200,49,0.1999999999999993,False,0.6,3.400000214576721,0.853744167368859
syn_25_002,25,3,expectation,4096,none,12,74,0.9242424242424242,199,199,267,366,0,0,200,55,-0.10000000000000053,False,0.36363636363636365,3.7000001668930054,1.5493403328582644
syn_25_002,25,3,cvar,256,none,12,74,0.9242424242424242,199,199,267,366,0,0,200,51,-1.200000000000001,False,0.6153846153846153,1.6000001430511475,0.5797531246207654
syn_25_002,25,1,expectation,256,fake_hanoi,12,74,0.9242424242424242,75,227,169,306,0,0,200,33,0.9999999999999991,False,0.8333333333333333,0.5000002384185791,31.26287058275193
syn_30_000,30,1,expectation,256,none,14,93,0.8681318681318682,78,78,120,156,0,0,200,34,8.400000000000002,False,0.0,13.900000095367432,0.43899829126894474
syn_30_000,30,1,expectation,1024,none,14,93,0.8681318681318682,78,78,120,156,0,0,200,29,-1.0999999999999996,False,0.0,5.000000238418579,0.5862437090836465
syn_30_000,30,1,expectation,4096,none,14,93,0.8681318681318682,78,78,120,156,0,0,200,25,0.0,False,0.0,6.800000190734863,1.0609994996339083
syn_30_000,30,2,expectation,256,none,14,93,0.8681318681318682,140,140,226,312,0,0,200,44,-1.0999999999999996,False,0.0,5.000000238418579,0.7605281672440469
syn_30_000,30,2,expectation,1024,none,14,93,0.8681318681318682,140,140,226,312,0,0,200,40,-6.1000000000000005,True,1.0,0.0,1.0061613749712706
syn_30_000,30,2,expectation,4096,none,14,93,0.8681318681318682,140,140,226,312,0,0,200,41,-1.0999999999999996,False,0.0,5.000000238418579,1.6591440420597792
syn_30_000,30,3,expectation,256,none,14,93,0.8681318681318682,202,202,332,468,0,0,200,51,12.1,False,0.0,4.900000214576721,1.2432760000228882
syn_30_000,30,3,expectation,1024,none,14,93,0.8681318681318682,202,202,332,468,0,0,200,57,4.9,False,0.0,11.900000095367432,1.7811236251145601
syn_30_000,30,3,expectation,4096,none,14,93,0.8681318681318682,202,202,332,468,0,0,200,55,-1.2000000000000002,False,0.0,4.900000214576721,2.6150376670993865
syn_30_000,30,3,cvar,256,none,14,93,0.8681318681318682,202,202,332,468,0,0,200,50,8.7,False,0.0,4.900000214576721,1.210362957790494
syn_30_000,30,1,expectation,256,fake_hanoi,14,93,0.8681318681318682,78,198,204,371,0,0,200,25,1.0000000000000004,False,0.0,6.400000184774399,101.04745491733775
syn_30_001,30,1,expectation,256,none,13,83,0.8846153846153846,81,81,108,138,0,0,200,30,1.9000000000000004,False,0.0,0.19999980926513672,0.245878417044878
syn_30_001,30,1,expectation,1024,none,13,83,0.8846153846153846,81,81,108,138,0,0,200,27,-3.0999999999999996,False,0.0,1.1999998092651367,0.35308762500062585
syn_30_001,30,1,expectation,4096,none,13,83,0.8846153846153846,81,81,108,138,0,0,200,32,-2.8999999999999995,False,0.8,1.5999999046325684,0.812718250323087
syn_30_001,30,2,expectation,256,none,13,83,0.8846153846153846,143,143,203,276,0,0,200,37,-1.0,False,0.0,3.299999952316284,0.3728865412995219
syn_30_001,30,2,expectation,1024,none,13,83,0.8846153846153846,143,143,203,276,0,0,200,50,-4.6,True,0.0,0.19999980926513672,0.5866508330218494
syn_30_001,30,2,expectation,4096,none,13,83,0.8846153846153846,143,143,203,276,0,0,200,44,0.0,False,0.0,4.599999904632568,1.2064408748410642
syn_30_001,30,3,expectation,256,none,13,83,0.8846153846153846,205,205,298,414,0,0,200,52,3.0999999999999996,False,0.4,7.8999998569488525,0.6619085413403809
syn_30_001,30,3,expectation,1024,none,13,83,0.8846153846153846,205,205,298,414,0,0,200,66,-3.0999999999999996,False,0.0,1.1999998092651367,1.1178460409864783
syn_30_001,30,3,expectation,4096,none,13,83,0.8846153846153846,205,205,298,414,0,0,200,50,-4.6,True,0.0,0.19999980926513672,1.74385437509045
syn_30_001,30,3,cvar,256,none,13,83,0.8846153846153846,205,205,298,414,0,0,200,50,8.2,False,0.0,0.19999980926513672,0.6351629160344601
syn_30_001,30,1,expectation,256,fake_hanoi,13,83,0.8846153846153846,81,255,186,349,0,0,200,30,-3.0999999999999996,False,0.0,1.1999998092651367,50.14129333337769
